Price,('Close', 'TECO2.BA'),('High', 'TECO2.BA'),('Low', 'TECO2.BA'),('Open', 'TECO2.BA'),('Volume', 'TECO2.BA')
Ticker,TECO2.BA,TECO2.BA,TECO2.BA,TECO2.BA,TECO2.BA
Date,,,,,
2021-02-26,171.9499969482422,177.4499969482422,170.85000610351562,177.0,31801
2021-03-01,170.9499969482422,180.0,169.10000610351562,173.8000030517578,148520
2021-03-02,170.9499969482422,174.0,169.0,173.35000610351562,93352
2021-03-03,168.39999389648438,173.0,165.10000610351562,171.3000030517578,72450
2021-03-04,166.39999389648438,173.0,163.10000610351562,166.0,55256
2021-03-05,166.10000610351562,171.0,164.0,168.0,19015
2021-03-08,163.0,169.6999969482422,162.0,167.0,21273
2021-03-09,166.0500030517578,167.0,161.39999389648438,163.0,47317
2021-03-10,166.0500030517578,170.0,163.0,170.0,101885
2021-03-11,171.85000610351562,173.60000610351562,167.6999969482422,168.25,86305
2021-03-12,170.89999389648438,173.9499969482422,170.0,172.5,29217
2021-03-15,175.39999389648438,176.5,170.0,172.0,88408
2021-03-16,172.0500030517578,179.39999389648438,171.8000030517578,179.0,39842
2021-03-17,176.10000610351562,177.0,170.8000030517578,176.0,49230
2021-03-18,171.14999389648438,176.10000610351562,170.8000030517578,176.0,43889
2021-03-19,174.1999969482422,175.85000610351562,169.5,172.89999389648438,36061
2021-03-22,175.5500030517578,177.0,173.60000610351562,175.9499969482422,50392
2021-03-23,168.8000030517578,175.0,167.0,174.9499969482422,83756
2021-03-25,163.1999969482422,166.9499969482422,159.5,166.9499969482422,53199
2021-03-26,157.0,166.5,156.0,166.5,55135
2021-03-29,158.5500030517578,160.0,148.6999969482422,155.4499969482422,42115
2021-03-30,157.4499969482422,158.0,155.0,158.0,18577
2021-03-31,161.39999389648438,164.0,155.85000610351562,156.0,110563
2021-04-05,162.0,166.9499969482422,160.60000610351562,161.5,111224
2021-04-06,172.0500030517578,173.0,162.0,162.0,133722
2021-04-07,175.10000610351562,175.60000610351562,170.3000030517578,172.0500030517578,327015
2021-04-08,171.3000030517578,173.0,163.60000610351562,170.1999969482422,59319
2021-04-09,162.89999389648438,173.35000610351562,162.10000610351562,173.35000610351562,140430
2021-04-12,156.89999389648438,162.0,156.3000030517578,162.0,166290
2021-04-13,153.5,157.5500030517578,152.6999969482422,157.0,66255
2021-04-14,154.39999389648438,157.89999389648438,152.0,154.0,123489
2021-04-15,152.64999389648438,155.0,152.39999389648438,155.0,222605
2021-04-16,150.6999969482422,153.75,150.39999389648438,153.0,101819
2021-04-19,150.0,152.0,150.0,152.0,39312
2021-04-20,145.60000610351562,150.0,140.75,150.0,166053
2021-04-21,144.60000610351562,145.5,140.8000030517578,145.5,289190
2021-04-22,143.39999389648438,144.10000610351562,141.6999969482422,143.64999389648438,53477
2021-04-23,139.64999389648438,142.4499969482422,138.0,142.4499969482422,196715
2021-04-26,139.5500030517578,143.0,138.14999389648438,141.39999389648438,185837
2021-04-27,140.1999969482422,143.14999389648438,138.6999969482422,140.39999389648438,186988
2021-04-28,148.5,149.0,142.0,143.5,334488
2021-04-29,147.35000610351562,150.0,145.60000610351562,150.0,80677
2021-04-30,147.9499969482422,149.0,146.5,149.0,83331
2021-05-03,147.35000610351562,151.0,146.0,151.0,102867
2021-05-04,145.6999969482422,148.8000030517578,144.6999969482422,147.0,90166
2021-05-05,144.8000030517578,146.4499969482422,144.0,145.5500030517578,49709
2021-05-06,141.1999969482422,146.0,140.8000030517578,143.0500030517578,73704
2021-05-07,147.14999389648438,147.64999389648438,143.0,146.35000610351562,68939
2021-05-10,145.25,147.9499969482422,145.0,147.89999389648438,35444
2021-05-11,148.9499969482422,151.0,145.89999389648438,147.4499969482422,123402
2021-05-12,154.1999969482422,157.0,149.0,151.89999389648438,218361
2021-05-13,158.0,159.5,154.25,156.39999389648438,102361
2021-05-14,162.25,164.75,159.5,160.0,135406
2021-05-17,162.9499969482422,164.5,158.35000610351562,162.0,91221
2021-05-18,171.4499969482422,173.5,162.5,162.5,239044
2021-05-19,172.0500030517578,173.8000030517578,166.0,168.0,222565
2021-05-20,171.4499969482422,173.4499969482422,168.0,172.0,130917
2021-05-21,171.75,174.5,168.0,173.3000030517578,127038
2021-05-26,171.89999389648438,174.39999389648438,161.6999969482422,167.14999389648438,121307
2021-05-27,183.9499969482422,198.75,177.0,177.0,1271939
2021-05-28,187.35000610351562,193.10000610351562,184.5,185.5,145969
2021-05-31,189.25,190.75,186.1999969482422,189.25,49527
2021-06-01,189.8000030517578,193.8000030517578,188.0,190.5,112997
2021-06-02,191.5,192.35000610351562,188.0,189.5,77843
2021-06-03,189.89999389648438,190.0,183.64999389648438,187.39999389648438,105672
2021-06-04,195.60000610351562,196.0,186.10000610351562,189.6999969482422,278700
2021-06-07,208.14999389648438,208.6999969482422,197.0,197.0,423187
2021-06-08,208.5,209.0,203.25,207.5,82276
2021-06-09,215.9499969482422,217.6999969482422,211.4499969482422,211.60000610351562,133408
2021-06-10,215.89999389648438,217.8000030517578,214.0,217.8000030517578,181125
2021-06-11,204.6999969482422,212.0,200.9499969482422,212.0,132422
2021-06-14,202.0,204.75,198.1999969482422,202.64999389648438,141298
2021-06-15,201.85000610351562,203.10000610351562,199.0500030517578,203.0,58596
2021-06-16,202.0,205.85000610351562,200.39999389648438,203.0,35925
2021-06-17,197.6999969482422,203.0,194.5,201.14999389648438,208699
2021-06-18,187.0500030517578,193.8000030517578,186.5,193.8000030517578,195274
2021-06-22,185.9499969482422,187.75,181.89999389648438,184.89999389648438,155730
2021-06-23,193.4499969482422,194.75,184.0,188.0,333327
2021-06-24,191.4499969482422,194.4499969482422,190.5,193.4499969482422,174421
2021-06-25,190.60000610351562,191.4499969482422,185.1999969482422,188.0,173608
2021-06-28,184.5,190.0,184.1999969482422,190.0,112410
2021-06-29,185.39999389648438,188.9499969482422,182.0,184.0,242237
2021-06-30,182.25,185.1999969482422,181.6999969482422,184.85000610351562,37852
2021-07-01,175.0500030517578,182.4499969482422,174.0,181.6999969482422,154109
2021-07-02,177.4499969482422,179.10000610351562,175.75,176.0,134065
2021-07-05,183.35000610351562,183.5,177.89999389648438,179.0,28977
2021-07-06,175.6999969482422,181.0,173.89999389648438,181.0,291301
2021-07-07,175.0,175.5,172.0,175.5,372707
2021-07-08,173.75,175.0,170.0500030517578,174.4499969482422,56084
2021-07-12,177.0500030517578,180.0,171.75,172.0,204845
2021-07-13,174.4499969482422,177.64999389648438,173.5,176.64999389648438,274297
2021-07-14,175.0,177.3000030517578,173.0,175.10000610351562,82578
2021-07-15,176.0500030517578,176.35000610351562,172.1999969482422,176.0,114557
