Price,('Close', 'TRAN.BA'),('High', 'TRAN.BA'),('Low', 'TRAN.BA'),('Open', 'TRAN.BA'),('Volume', 'TRAN.BA')
Ticker,TRAN.BA,TRAN.BA,TRAN.BA,TRAN.BA,TRAN.BA
Date,,,,,
2021-11-04,64.69999694824219,65.9000015258789,63.5,65.9000015258789,238590
2021-11-05,65.30000305175781,65.80000305175781,64.80000305175781,65.80000305175781,150948
2021-11-08,67.80000305175781,67.9000015258789,64.0,65.30000305175781,570894
2021-11-09,67.0999984741211,70.4000015258789,66.80000305175781,68.0,922839
2021-11-10,66.5,69.80000305175781,65.5,68.0,1044538
2021-11-11,63.70000076293945,68.30000305175781,63.70000076293945,66.5,723679
2021-11-12,61.29999923706055,64.5,61.0,64.5,447234
2021-11-15,58.70000076293945,63.599998474121094,58.400001525878906,61.70000076293945,600756
2021-11-16,56.5,59.29999923706055,55.400001525878906,59.0,725780
2021-11-17,55.900001525878906,57.79999923706055,54.0,57.0,276200
2021-11-18,56.29999923706055,56.5,54.099998474121094,56.5,308671
2021-11-19,56.20000076293945,57.5,54.79999923706055,56.5,229451
2021-11-23,56.29999923706055,57.29999923706055,54.29999923706055,56.0,127809
2021-11-24,57.0,57.400001525878906,55.20000076293945,55.20000076293945,63740
2021-11-25,58.5,59.0,56.0,57.0,127067
2021-11-26,54.79999923706055,57.29999923706055,53.099998474121094,57.29999923706055,296293
2021-11-29,53.20000076293945,58.5,53.0,55.0,55814
2021-11-30,53.400001525878906,54.5,51.599998474121094,53.400001525878906,176131
2021-12-01,57.099998474121094,57.400001525878906,53.79999923706055,53.79999923706055,483201
2021-12-02,60.0,60.900001525878906,57.29999923706055,58.0,252405
2021-12-03,59.599998474121094,61.0,56.5,60.900001525878906,168013
2021-12-06,61.400001525878906,61.900001525878906,59.599998474121094,60.0,152128
2021-12-07,61.099998474121094,62.79999923706055,59.5,59.5,160525
2021-12-09,60.79999923706055,61.5,59.79999923706055,61.0,271675
2021-12-10,60.900001525878906,61.900001525878906,59.79999923706055,61.900001525878906,135225
2021-12-13,59.599998474121094,61.0,59.20000076293945,60.900001525878906,260638
2021-12-14,59.29999923706055,59.900001525878906,58.5,59.599998474121094,104505
2021-12-15,57.20000076293945,59.400001525878906,56.5,59.0,127568
2021-12-16,57.5,58.5,56.70000076293945,57.29999923706055,283509
2021-12-17,56.70000076293945,58.0,56.5,58.0,120457
2021-12-20,56.099998474121094,57.0,55.0,57.0,166979
2021-12-21,56.0,56.900001525878906,55.70000076293945,56.0,140339
2021-12-22,55.099998474121094,56.79999923706055,55.0,56.5,96734
2021-12-23,55.099998474121094,55.900001525878906,54.79999923706055,55.0,151324
2021-12-27,54.5,55.79999923706055,54.099998474121094,55.0,72830
2021-12-28,53.099998474121094,55.0,52.900001525878906,55.0,302993
2021-12-29,54.400001525878906,54.5,52.599998474121094,54.5,74415
2021-12-30,54.099998474121094,55.5,53.29999923706055,55.5,130636
2022-01-03,54.400001525878906,54.5,53.0,54.099998474121094,256077
2022-01-04,54.20000076293945,54.900001525878906,52.0,54.900001525878906,49148
2022-01-05,53.70000076293945,54.400001525878906,52.599998474121094,54.20000076293945,45814
2022-01-06,53.400001525878906,53.900001525878906,52.5,53.29999923706055,77631
2022-01-07,52.900001525878906,54.0,52.400001525878906,53.400001525878906,103148
2022-01-10,52.29999923706055,52.900001525878906,51.900001525878906,52.900001525878906,99511
2022-01-11,52.79999923706055,52.79999923706055,51.79999923706055,52.5,94893
2022-01-12,52.70000076293945,53.5,52.0,53.0,122789
2022-01-13,52.599998474121094,53.29999923706055,52.20000076293945,52.5,55849
2022-01-14,52.79999923706055,53.0,51.79999923706055,52.900001525878906,88645
2022-01-17,52.29999923706055,52.900001525878906,52.0,52.5,55487
2022-01-18,51.79999923706055,53.0,51.400001525878906,52.400001525878906,130085
2022-01-19,51.0,52.5,50.0,52.0,150958
2022-01-20,51.599998474121094,51.900001525878906,51.0,51.0,79906
2022-01-21,49.150001525878906,51.70000076293945,49.0,51.70000076293945,337398
2022-01-24,46.099998474121094,50.29999923706055,45.900001525878906,49.25,293028
2022-01-25,49.150001525878906,49.400001525878906,45.20000076293945,46.5,318310
2022-01-26,48.150001525878906,50.400001525878906,48.0,49.5,307915
2022-01-27,49.25,49.54999923706055,48.0,49.0,195361
2022-01-28,51.0,52.599998474121094,49.599998474121094,51.0,408034
2022-01-31,58.29999923706055,59.400001525878906,51.0,51.29999923706055,811190
2022-02-01,58.70000076293945,60.79999923706055,54.099998474121094,57.79999923706055,650519
2022-02-02,57.70000076293945,60.0,56.29999923706055,59.099998474121094,484279
2022-02-03,57.5,58.20000076293945,54.5,58.20000076293945,706562
2022-02-04,58.0,58.79999923706055,55.70000076293945,58.400001525878906,330453
2022-02-07,59.599998474121094,60.0,57.79999923706055,58.5,246114
2022-02-08,58.5,61.0,58.099998474121094,60.0,271183
2022-02-09,57.79999923706055,59.0,57.29999923706055,58.5,117160
2022-02-10,57.400001525878906,58.900001525878906,57.0,58.0,73720
2022-02-11,59.099998474121094,59.5,57.400001525878906,58.79999923706055,196161
2022-02-14,57.79999923706055,60.0,57.099998474121094,60.0,193370
2022-02-15,57.599998474121094,58.400001525878906,56.70000076293945,57.900001525878906,33359
2022-02-16,59.099998474121094,59.400001525878906,57.29999923706055,58.0,266883
2022-02-17,60.79999923706055,61.20000076293945,59.400001525878906,59.400001525878906,370570
2022-02-18,63.400001525878906,64.5,59.099998474121094,60.79999923706055,842080
2022-02-21,65.0,66.69999694824219,62.29999923706055,63.5,592112
2022-02-22,65.80000305175781,66.69999694824219,64.4000015258789,66.69999694824219,225290
2022-02-23,65.19999694824219,66.9000015258789,62.79999923706055,65.80000305175781,427983
2022-02-24,63.099998474121094,65.0,60.20000076293945,64.5,300213
2022-02-25,63.29999923706055,65.4000015258789,62.5,63.20000076293945,402287
2022-03-02,64.5,65.80000305175781,64.0,64.9000015258789,251739
2022-03-03,63.599998474121094,65.5999984741211,63.20000076293945,65.5,364303
2022-03-04,63.79999923706055,64.5999984741211,62.0,63.5,307457
2022-03-07,62.70000076293945,64.69999694824219,62.599998474121094,63.70000076293945,153180
2022-03-08,62.79999923706055,64.69999694824219,60.29999923706055,64.0,95193
2022-03-09,61.79999923706055,63.79999923706055,60.900001525878906,62.099998474121094,81246
2022-03-10,62.599998474121094,62.900001525878906,61.0,62.70000076293945,146104
2022-03-11,62.20000076293945,63.70000076293945,61.099998474121094,62.79999923706055,172225
2022-03-14,59.0,61.5,57.5,61.5,154446
2022-03-15,57.79999923706055,60.70000076293945,56.70000076293945,59.400001525878906,99660
2022-03-16,58.29999923706055,59.5,57.0,58.900001525878906,158912
2022-03-17,57.29999923706055,59.0,57.0,58.0,251836
2022-03-18,57.0,58.5,56.79999923706055,58.29999923706055,160124
